model,fpr,tpr,threshold
Logistic Regression,0.13592946362968406,0.2597809076682316,0.6047345284819285
Logistic Regression,0.13592946362968406,0.26291079812206575,0.6043810472470231
Logistic Regression,0.1381337252020573,0.26291079812206575,0.6033632830717065
Logistic Regression,0.1381337252020573,0.26604068857589985,0.603149225380229
Logistic Regression,0.13960323291697282,0.26604068857589985,0.6021786203581175
Logistic Regression,0.13960323291697282,0.26917057902973396,0.6013114256198493
Logistic Regression,0.14254224834680382,0.26917057902973396,0.6006095291025476
Logistic Regression,0.14254224834680382,0.27073552425665104,0.5999026317063685
Logistic Regression,0.14327700220426157,0.27073552425665104,0.5997379980465203
Logistic Regression,0.14327700220426157,0.27386541471048514,0.5990982114120045
Logistic Regression,0.14401175606171931,0.27386541471048514,0.5986870223916025
Logistic Regression,0.14401175606171931,0.27543035993740217,0.5986131958996634
Logistic Regression,0.1462160176340926,0.27543035993740217,0.5981481399806837
Logistic Regression,0.1462160176340926,0.27699530516431925,0.5980048210337405
Logistic Regression,0.14768552534900808,0.27699530516431925,0.5979292939845383
Logistic Regression,0.14768552534900808,0.27856025039123633,0.5976428849836268
Logistic Regression,0.15282880235121235,0.27856025039123633,0.596754466692715
Logistic Regression,0.15282880235121235,0.28325508607198746,0.5957450377738478
Logistic Regression,0.1535635562086701,0.28325508607198746,0.5945984578611753
Logistic Regression,0.1535635562086701,0.28482003129890454,0.5944305718236843
Logistic Regression,0.1550330639235856,0.28482003129890454,0.5937912561994426
Logistic Regression,0.1550330639235856,0.28794992175273865,0.5936627987718038
Logistic Regression,0.15576781778104334,0.28794992175273865,0.5936200863482072
Logistic Regression,0.15576781778104334,0.2942097026604069,0.5927354208533414
Logistic Regression,0.1565025716385011,0.2942097026604069,0.5924784462441408
Logistic Regression,0.1565025716385011,0.297339593114241,0.5924256646337392
Logistic Regression,0.15797207935341662,0.297339593114241,0.5923074250216027
Logistic Regression,0.15797207935341662,0.30203442879499215,0.5909378746800514
Logistic Regression,0.16017634092578986,0.30203442879499215,0.589512715267901
Logistic Regression,0.16017634092578986,0.30359937402190923,0.589136171406775
Logistic Regression,0.1623806024981631,0.30359937402190923,0.5888912381565584
Logistic Regression,0.1623806024981631,0.3082942097026604,0.5886612108411037
Logistic Regression,0.16605437178545188,0.3082942097026604,0.587109216379026
Logistic Regression,0.16605437178545188,0.30985915492957744,0.5870827134946619
Logistic Regression,0.16752387950036737,0.30985915492957744,0.58680255605281
Logistic Regression,0.16752387950036737,0.3129890453834116,0.5863086292804645
Logistic Regression,0.16825863335782512,0.3129890453834116,0.5855313374954076
Logistic Regression,0.16825863335782512,0.3145539906103286,0.5853794974591259
Logistic Regression,0.1719324026451139,0.3145539906103286,0.5849489711841632
Logistic Regression,0.1719324026451139,0.31768388106416273,0.5844779073382996
Logistic Regression,0.1734019103600294,0.31768388106416273,0.5842714122342908
Logistic Regression,0.1734019103600294,0.3192488262910798,0.5837082974778277
Logistic Regression,0.1763409257898604,0.3192488262910798,0.5833325835855397
